feature_name,feature_type,train_mean,train_std,train_min,train_max,train_missing
feature_total_nodes,original,40.85716422375112,33.97446045012548,3.0,575.0,0
feature_unique_node_types,original,13.047861202512713,4.237643119642497,3.0,34.0,0
feature_max_depth,original,5.944361352078971,1.6035349144424509,1.0,18.0,0
feature_avg_depth,original,3.2623819002855132,0.8619225381150293,0.6666666666666666,8.837209302325581,0
feature_depth_variance,original,2.4482115673219895,1.181960421999387,0.3333333333333333,19.21951219512195,0
feature_cyclomatic_complexity,original,2.560125635656596,1.2614371008423717,1.0,14.0,0
feature_cognitive_complexity,original,1.9184863894705355,2.225929170143415,0.0,78.0,0
feature_nesting_complexity,original,1.4651510619204307,1.0786137670886173,0.0,12.0,0
feature_control_flow_complexity,original,1.5064313490876458,1.151060351581394,0.0,12.0,0
feature_operator_density,original,0.04947287473749111,0.04412100022480634,0.0,0.2564102564102564,0
feature_literal_density,original,0.07509829346129683,0.06412919184356565,0.0,0.6585365853658537,0
feature_call_density,original,0.05652744617387614,0.04225883495334835,0.0,0.2142857142857142,0
feature_variable_density,original,0.24076452185401356,0.05409658739561338,0.0,0.4,0
feature_attribute_density,original,0.019297868157768707,0.03305038989512393,0.0,0.1851851851851851,0
feature_node_type_entropy,original,3.113922098523297,0.32686269679175217,1.584962500721156,4.021678779345479,0
feature_operator_entropy,original,0.5457117703470343,0.7484505895576304,0.0,2.875,0
feature_variable_entropy,original,1.8424411419899969,0.7123873621884135,0.0,4.115794122271122,0
feature_unique_variables,original,4.456924917738558,2.1974042746372984,0.0,23.0,0
feature_unique_operators,original,1.523631468740652,1.4108123042972323,0.0,9.0,0
feature_unique_functions,original,1.6124738259048759,1.2050082278381946,0.0,13.0,0
feature_avg_branching_factor,original,0.9614236230725249,0.026046646850848332,0.6666666666666666,0.9982608695652174,0
feature_max_branching_factor,original,3.985791205504038,1.5923174835801486,2.0,53.0,0
feature_leaves_to_nodes_ratio,original,0.4426523130634766,0.044136957146777255,0.3,0.7804878048780488,0
feature_loops_count,original,0.8299431648220161,0.7781270667425739,0.0,9.0,0
feature_conditionals_count,original,0.7271911456775352,0.8690125113649827,0.0,12.0,0
feature_functions_count,original,0.532755010469638,0.4992629800187723,0.0,2.0,0
feature_classes_count,original,0.0,0.0,0.0,0.0,0
feature_try_blocks_count,original,0.002991325157044571,0.05728874691499517,0.0,2.0,0
feature_vocabulary_size,original,8.031857612922524,4.073560963974551,0.0,60.0,0
feature_program_length,original,15.25770266227939,13.436679269262367,0.0,192.0,0
feature_program_volume,original,50.428606365711936,58.214962588741685,0.0,1014.7972260215518,0
feature_program_difficulty,original,1.75315254523203,2.3282057854183233,0.0,25.666666666666668,0
feature_program_effort,original,200.81215051587301,768.4500384925082,0.0,23176.65922655673,0
complexity_efficiency,original,0.4223928795719759,0.1795832750345768,0.03225806451612903,0.8333333333333334,0
info_density,original,36.26315850074604,73.89637145775698,0.0,1651.9207173090324,0
halstead_maintainability,original,8.706916442637219,11.181254644201543,0.0,152.23882299386295,0
complexity_mean,original,1.862548609033802,1.3764599740239678,0.25,28.75,0
complexity_std,original,0.5351793098041036,0.520703259720123,0.4330127018922193,28.43743131859838,0
complexity_max,original,2.6957822315285673,1.9633600044172403,1.0,78.0,0
density_mean,original,0.08823220087688925,0.014691277049601851,0.0,0.16097560975609754,0
density_range,original,0.24080123682004667,0.05238223788630504,0.0,0.6585365853658537,0
feature_program_effort_squared,engineered,630752.6602661427,10407875.270450013,0.0,537157532.9039372,0
feature_program_effort_sqrt,engineered,8.706916442637217,11.181254644201543,0.0,152.23882299386293,0
feature_program_effort_x_feature_program_volume,engineered,46938.000067162255,477733.40217256715,0.0,23519609.491556574,0
feature_program_effort_div_feature_program_volume,engineered,1.753119103636612,2.3281942773842315,0.0,25.66662495954974,0
feature_program_effort_x_feature_total_nodes,engineered,28471.336973314726,266929.85742986196,0.0,13326579.05527012,0
feature_program_effort_div_feature_total_nodes,engineered,2.3818825254644613,3.78242644419586,0.0,45.91645603708509,0
feature_program_volume_squared,engineered,5931.519331860411,25505.02141512562,0.0,1029813.4099410364,0
feature_program_volume_sqrt,engineered,6.322089353314043,3.2344021457573384,0.0,31.85588212593636,0
feature_program_volume_x_feature_total_nodes,engineered,3971.4336567592236,14340.844925697118,0.0,583508.4049623923,0
feature_program_volume_div_feature_total_nodes,engineered,1.0628356912778296,0.4048083935381668,0.0,4.538165479973862,0
feature_program_volume_x_feature_program_length,engineered,1544.5175586832888,5506.605620074127,0.0,194841.06739613792,0
feature_program_volume_div_feature_program_length,engineered,2.8149279729885213,0.7820565117514902,0.0,5.906796836928568,0
feature_total_nodes_squared,engineered,2823.3991923422077,8297.66383585873,9.0,330625.0,0
feature_total_nodes_sqrt,engineered,6.011312535429212,2.1730145134874577,1.7320508075688772,23.979157616563597,0
feature_total_nodes_x_feature_program_length,engineered,1070.8375710439725,3136.595398379301,0.0,110400.0,0
feature_total_nodes_div_feature_program_length,engineered,4.5226139180718015,80.12975535411474,1.3015666417993366,5000.0,0
feature_total_nodes_x_feature_unique_node_types,engineered,636.277295842058,812.6344640492333,9.0,19550.0,0
feature_total_nodes_div_feature_unique_node_types,engineered,2.8936381741733297,1.556059624521745,0.9996667777407531,20.22635334757511,0
feature_program_length_squared,engineered,413.31483697277895,1213.9893961817013,0.0,36864.0,0
feature_program_length_sqrt,engineered,3.6391468600265977,1.4193710268043562,0.0,13.856406460551018,0
feature_program_length_x_feature_unique_node_types,engineered,238.21029015854023,312.873317557597,0.0,6528.0,0
feature_program_length_div_feature_unique_node_types,engineered,1.0765863559306545,0.6484128657373472,0.0,7.545111585837007,0
feature_program_length_x_feature_vocabulary_size,engineered,167.22509721806762,280.1091613871229,0.0,7488.0,0
feature_program_length_div_feature_vocabulary_size,engineered,1.7355535408295673,0.6881159378684106,0.0,7.785158202985501,0
feature_unique_node_types_squared,engineered,188.2016153155848,123.55241452824728,9.0,1156.0,0
feature_unique_node_types_sqrt,engineered,3.5649740574476736,0.5821270102247306,1.7320508075688772,5.830951894845301,0
feature_unique_node_types_x_feature_vocabulary_size,engineered,116.52467843254561,93.16233925362208,0.0,1326.0,0
feature_unique_node_types_div_feature_vocabulary_size,engineered,3.418573414580674,71.26749802553182,0.18333027782870287,4000.0,0
feature_unique_node_types_x_feature_program_difficulty,engineered,29.459289150719208,51.73274470981869,0.0,777.5833333333331,0
feature_unique_node_types_div_feature_program_difficulty,engineered,2340.2462093080667,4317.593013735683,1.0168999079947703,18000.0,0
feature_vocabulary_size_squared,engineered,81.10215375411308,100.41209868860177,0.0,3600.0,0
feature_vocabulary_size_sqrt,engineered,2.746051674432025,0.7008075848176216,0.0,7.745966692414834,0
feature_vocabulary_size_x_feature_program_difficulty,engineered,20.241419101620803,40.54381056702553,0.0,890.709677419355,0
feature_vocabulary_size_div_feature_program_difficulty,engineered,1184.3628577805976,2407.8455702206306,0.0,32000.0,0
feature_vocabulary_size_x_feature_cognitive_complexity,engineered,20.489679928208197,46.293804641978014,0.0,2652.0,0
feature_vocabulary_size_div_feature_cognitive_complexity,engineered,967.539901163134,2477.0960621691256,0.0,32000.0,0
feature_program_difficulty_squared,engineered,8.493275295899615,28.91000191682587,0.0,658.7777777777778,0
feature_program_difficulty_sqrt,engineered,1.045167029176854,0.8129435843242913,0.0,5.066228051190222,0
feature_program_difficulty_x_feature_cognitive_complexity,engineered,6.231145392533474,19.784141954122283,0.0,819.0,0
feature_program_difficulty_div_feature_cognitive_complexity,engineered,124.85483595911134,535.604660358632,0.0,10625.0,0
feature_cognitive_complexity_squared,engineered,8.634609632067006,78.68317727530957,0.0,6084.0,0
feature_cognitive_complexity_sqrt,engineered,1.1720188202582875,0.7382003651004329,0.0,8.831760866327848,0
log1p_feature_total_nodes,engineered,3.5077427947116684,0.6530428286893558,1.3862943611198906,6.3561076606958915,0
sqrt_feature_total_nodes,original,6.011312535429212,2.1730145134874577,1.7320508075688772,23.979157616563597,0
inv_feature_total_nodes,engineered,0.03857421063060596,0.02604346897246611,0.0017391274102131996,0.33322225924691773,0
log1p_feature_depth_variance,engineered,1.1904757085507285,0.29768692409965053,0.2876820724517809,3.006648088430987,0
sqrt_feature_depth_variance,original,1.5272605306297973,0.3401531189600734,0.5773502691896257,4.384006409110501,0
inv_feature_depth_variance,engineered,0.4908790308437778,0.21317118016897804,0.05202774982519945,2.991026919242273,0
log1p_feature_cyclomatic_complexity,engineered,1.2125870337993867,0.33564493512878124,0.6931471805599453,2.70805020110221,0
sqrt_feature_cyclomatic_complexity,original,1.5546731884074632,0.37833625462897447,1.0,3.7416573867739413,0
log1p_feature_cognitive_complexity,engineered,0.8887064150289421,0.586254175391097,0.0,4.3694478524670215,0
sqrt_feature_cognitive_complexity,original,1.1720188202582875,0.7382003651004329,0.0,8.831760866327848,0
inv_feature_cognitive_complexity,engineered,185.2426266677254,387.84330459297985,0.012820348457071062,1000.0,0
log1p_feature_literal_density,engineered,0.07070378795687292,0.05790884678654214,0.0,0.5059356384717989,0
sqrt_feature_literal_density,original,0.2358375052573631,0.1395774996442095,0.0,0.8115026712006891,0
