,feature_total_nodes,feature_unique_node_types,feature_max_depth,feature_avg_depth,feature_depth_variance,feature_cyclomatic_complexity,feature_cognitive_complexity,feature_nesting_complexity,feature_control_flow_complexity,feature_operator_density,feature_literal_density,feature_call_density,feature_variable_density,feature_attribute_density,feature_node_type_entropy,feature_operator_entropy,feature_variable_entropy,feature_unique_variables,feature_unique_operators,feature_unique_functions,feature_avg_branching_factor,feature_max_branching_factor,feature_leaves_to_nodes_ratio,feature_loops_count,feature_conditionals_count,feature_functions_count,feature_classes_count,feature_try_blocks_count,feature_vocabulary_size,feature_program_length,feature_program_volume,feature_program_difficulty,feature_program_effort
4531,22,7,5,2.772727272727273,1.803030303030303,2,1,1,1,0.0,0.0,0.0909090909090909,0.3636363636363636,0.0,2.2934550525280595,0.0,2.5,6,0,2,0.9545454545454546,3,0.4090909090909091,1,0,0,0,0,6,8,20.67970000576925,0.0,0.0
614,30,11,6,2.933333333333333,2.064367816091954,2,1,1,1,0.0333333333333333,0.1333333333333333,0.1333333333333333,0.2,0.0666666666666666,3.06818194698418,0.0,1.7924812503605778,4,1,4,0.9666666666666668,4,0.4333333333333333,0,1,0,0,0,8,11,33.0,0.7142857142857143,23.571428571428573
887,47,15,8,4.212765957446808,4.823311748381129,1,0,0,0,0.0212765957446808,0.0638297872340425,0.0851063829787234,0.2340425531914893,0.0851063829787234,3.2443107066139967,0.0,2.663532754804255,7,1,4,0.9787234042553192,5,0.425531914893617,0,0,1,0,0,11,15,51.89147427955946,0.7,36.32403199569162
6453,50,15,6,3.26,2.4820408163265304,3,2,2,2,0.02,0.04,0.06,0.3,0.02,3.129917332496152,0.0,2.4729055953200563,6,1,2,0.98,6,0.4,1,1,1,0,0,9,18,57.05865002596162,1.0625,60.62481565258422
6499,29,14,6,4.0344827586206895,2.8916256157635467,1,0,0,0,0.1379310344827586,0.0,0.0689655172413793,0.2413793103448276,0.0,3.295809653444591,2.0,1.5566567074628228,3,4,1,0.9655172413793104,3,0.4482758620689655,0,0,1,0,0,7,11,30.880904142633646,4.666666666666667,144.11088599895703
1194,11,8,4,2.272727272727273,1.6181818181818182,1,0,0,0,0.0909090909090909,0.0,0.0,0.1818181818181818,0.0,2.913977073182752,0.0,1.0,2,1,0,0.9090909090909092,3,0.4545454545454545,0,0,1,0,0,3,3,4.754887502163468,0.5,2.377443751081734
755,62,17,6,3.2580645161290325,1.6700158646218932,4,4,3,3,0.064516129032258,0.1290322580645161,0.0161290322580645,0.2096774193548387,0.0,3.5391742258501893,1.0,2.0758692966977272,5,2,1,0.9838709677419356,5,0.4838709677419355,1,2,1,0,0,10,25,83.04820237218405,2.625,218.0015312269832
2070,20,8,5,2.65,1.923684210526316,3,2,2,2,0.0,0.1,0.15,0.3,0.0,2.628212945841001,0.0,1.7924812503605778,4,0,3,0.95,3,0.4,1,1,0,0,0,6,8,20.67970000576925,0.0,0.0
6612,88,18,9,5.443181818181818,4.594435736677116,4,4,3,3,0.0681818181818181,0.0568181818181818,0.034090909090909,0.25,0.0,3.278804327851131,1.4591479170272448,2.274983599956846,6,3,2,0.9886363636363636,3,0.4772727272727273,2,1,1,0,0,11,33,114.1612434150308,5.0625,577.9412947885935
399,31,11,6,3.5161290322580645,2.3913978494623658,3,3,2,2,0.0,0.032258064516129,0.1290322580645161,0.2903225806451613,0.0,2.948363746922874,0.0,2.197159723424149,5,0,2,0.967741935483871,4,0.3548387096774194,2,0,1,0,0,6,10,25.84962500721156,0.0,0.0
2897,14,9,4,2.2142857142857144,1.4120879120879122,3,2,2,2,0.0714285714285714,0.0714285714285714,0.0,0.2857142857142857,0.0,2.896291529045929,0.0,1.5,3,1,0,0.9285714285714286,3,0.4285714285714285,1,1,0,0,0,5,6,13.931568569324174,0.625,8.707230355827608
8188,12,8,4,2.25,1.4772727272727273,2,1,1,1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.25,0.0,2.792481250360578,0.0,0.9182958340544896,2,1,1,0.9166666666666666,3,0.4166666666666667,0,1,0,0,0,4,5,10.0,0.6666666666666666,6.666666666666666
3961,17,9,5,2.588235294117647,1.8823529411764703,3,2,2,2,0.0,0.0,0.0588235294117647,0.2941176470588235,0.0588235294117647,2.8163075192246447,0.0,1.3709505944546687,3,0,1,0.9411764705882352,3,0.4117647058823529,1,1,0,0,0,3,5,7.92481250360578,0.0,0.0
4873,77,15,8,4.896103896103896,3.3838004101162,4,4,3,3,0.0779220779220779,0.0649350649350649,0.0259740259740259,0.2467532467532467,0.0,3.1250761212760763,1.4591479170272448,2.0815454366683137,5,3,1,0.987012987012987,3,0.4935064935064935,2,1,0,0,0,10,30,99.65784284662088,5.142857142857143,512.5260489254788
5640,91,19,8,5.043956043956044,3.598046398046398,4,4,3,3,0.0549450549450549,0.0879120879120879,0.0219780219780219,0.2527472527472527,0.0,3.3036699966321854,1.3709505944546687,2.1908887189090467,6,3,2,0.989010989010989,5,0.4725274725274725,2,1,1,0,0,13,36,133.21582985307933,4.65,619.4536088168189
4093,22,12,6,2.9545454545454546,2.4264069264069263,3,2,2,2,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.2727272727272727,0.0454545454545454,3.049452072789393,0.0,1.4591479170272446,3,1,1,0.9545454545454546,3,0.4090909090909091,1,1,0,0,0,5,8,18.575424759098897,0.875,16.253496664211536
196,75,18,7,3.653333333333333,2.3646846846846845,2,1,1,1,0.0933333333333333,0.0666666666666666,0.0666666666666666,0.2666666666666666,0.0133333333333333,3.29900478541273,1.8423709931771084,3.1841837197791887,10,4,4,0.9866666666666668,6,0.4533333333333333,1,0,0,0,0,16,32,128.0,4.166666666666667,533.3333333333334
4816,31,14,5,2.870967741935484,1.782795698924731,3,2,2,2,0.032258064516129,0.032258064516129,0.0,0.2903225806451613,0.0,3.182077053304697,0.0,1.5304930567574826,3,1,0,0.967741935483871,4,0.4193548387096774,1,1,1,0,0,5,11,25.541209043760983,1.25,31.92651130470123
2184,8,7,4,2.0,1.7142857142857142,1,0,0,0,0.0,0.0,0.0,0.125,0.125,2.75,0.0,0.0,1,0,0,0.875,2,0.375,0,0,1,0,0,1,1,0.0,0.0,0.0
2237,43,13,5,2.9302325581395348,1.3997785160575855,3,2,2,2,0.0697674418604651,0.0697674418604651,0.0232558139534883,0.3023255813953488,0.0,3.097315537187169,0.9182958340544896,2.345851989338261,6,2,1,0.9767441860465116,5,0.4418604651162791,1,1,0,0,0,10,19,63.11663380285988,2.0,126.23326760571976
7087,61,20,9,4.508196721311475,4.887431693989071,2,1,1,1,0.0655737704918032,0.0163934426229508,0.0491803278688524,0.2295081967213114,0.0327868852459016,3.544382724197364,0.8112781244591328,2.1820058147602133,5,2,3,0.9836065573770492,4,0.4262295081967213,0,1,1,0,0,8,19,57.0,2.5,142.5
2428,77,16,6,4.077922077922078,2.178058783321941,3,2,1,1,0.1818181818181818,0.0389610389610389,0.0,0.2337662337662337,0.0,3.3522272864647533,2.0202442071537563,1.584962500721156,3,5,0,0.987012987012987,4,0.4935064935064935,0,2,1,0,0,10,35,116.26748332105768,10.5,1220.8085748711055
4590,28,13,5,2.892857142857143,1.6547619047619049,3,2,2,2,0.1071428571428571,0.1071428571428571,0.0714285714285714,0.25,0.0,3.2389211020256887,1.584962500721156,2.1280852788913944,5,3,2,0.9642857142857144,3,0.4642857142857143,1,1,0,0,0,11,13,44.97261104228487,1.875,84.32364570428413
4113,16,10,4,2.1875,1.2291666666666667,2,1,1,1,0.0625,0.125,0.0625,0.25,0.0,3.077819531114783,0.0,1.5,3,1,1,0.9375,3,0.4375,0,1,0,0,0,6,7,18.09473750504809,0.6,10.856842503028856
1261,50,21,8,4.3,4.5,5,6,4,4,0.06,0.06,0.04,0.24,0.02,3.672194733414902,1.584962500721156,2.054585169337799,5,3,2,0.98,4,0.44,2,2,1,0,0,11,18,62.26976913547135,2.8125,175.13372569351318
7386,12,9,4,2.25,1.4772727272727273,2,1,1,1,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,3.084962500721156,1.0,1.0,2,2,0,0.9166666666666666,3,0.5,0,1,0,0,0,6,6,15.509775004326936,1.0,15.509775004326936
5443,31,14,5,2.870967741935484,1.782795698924731,3,2,2,2,0.032258064516129,0.032258064516129,0.0,0.2903225806451613,0.0,3.182077053304697,0.0,1.5304930567574826,3,1,0,0.967741935483871,4,0.4193548387096774,1,1,1,0,0,5,11,25.541209043760983,1.25,31.92651130470123
2306,61,17,6,3.377049180327869,1.9054644808743169,4,3,2,2,0.0491803278688524,0.081967213114754,0.0327868852459016,0.2786885245901639,0.0,3.320319726692228,0.9182958340544896,2.225610814520738,6,2,2,0.9836065573770492,5,0.4426229508196721,1,2,1,0,0,9,25,79.2481250360578,3.142857142857143,249.06553582761023
5020,129,20,7,3.945736434108527,2.27046996124031,5,5,3,4,0.0232558139534883,0.0310077519379844,0.0620155038759689,0.3178294573643411,0.0077519379844961,3.1036730685986864,0.9182958340544896,3.029800156075049,10,2,4,0.992248062015504,7,0.4186046511627907,1,3,1,0,0,15,48,187.53074858920888,3.4615384615384617,649.1448989626462
638,25,13,4,2.4,1.1666666666666667,2,1,1,1,0.0,0.04,0.04,0.28,0.0,3.267601311512056,0.0,2.1280852788913944,5,0,1,0.96,4,0.44,1,0,1,0,0,6,8,20.67970000576925,0.0,0.0
5252,22,11,5,3.090909090909091,1.7056277056277056,2,1,1,1,0.2272727272727272,0.0909090909090909,0.0,0.1818181818181818,0.0,3.277613436819116,1.521928094887362,1.5,3,3,0,0.9545454545454546,3,0.5454545454545454,0,1,0,0,0,7,11,30.880904142633646,2.25,69.4820343209257
3930,24,11,5,2.833333333333333,1.710144927536232,2,1,1,1,0.0416666666666666,0.125,0.0833333333333333,0.25,0.0,3.0110276044371003,0.0,2.2516291673878226,5,1,2,0.9583333333333334,3,0.4583333333333333,1,0,0,0,0,9,10,31.69925001442312,0.5625,17.830828133113005
7905,33,16,6,3.363636363636364,2.363636363636364,3,2,2,2,0.0303030303030303,0.0303030303030303,0.0606060606060606,0.2424242424242424,0.0,3.408030482994817,0.0,2.1556390622295662,5,1,2,0.9696969696969696,3,0.4242424242424242,1,1,1,0,0,7,10,28.07354922057604,0.75,21.05516191543203
565,24,9,5,2.958333333333333,2.0416666666666665,2,1,1,1,0.0,0.0416666666666666,0.125,0.25,0.0833333333333333,2.8129072918469555,0.0,1.918295834054489,4,0,3,0.9583333333333334,3,0.4166666666666667,1,0,0,0,0,5,7,16.253496664211536,0.0,0.0
7013,32,11,4,2.28125,0.9828629032258064,2,1,1,1,0.03125,0.03125,0.03125,0.34375,0.0,2.7981212574507195,0.0,2.413088436425758,6,1,1,0.96875,6,0.40625,1,0,0,0,0,8,13,39.0,0.8571428571428571,33.42857142857142
5543,62,11,5,3.403225806451613,1.523268112109995,2,1,1,1,0.0483870967741935,0.0806451612903225,0.0967741935483871,0.2903225806451613,0.032258064516129,2.686186190992155,0.9182958340544896,2.5032583347756456,6,2,3,0.9838709677419356,5,0.4516129032258064,0,1,0,0,0,11,26,89.94522208456974,2.555555555555556,229.86001199390043
5668,12,8,5,2.6666666666666665,2.242424242424242,1,0,0,0,0.0,0.0,0.0833333333333333,0.25,0.0,2.792481250360578,0.0,1.584962500721156,3,0,1,0.9166666666666666,3,0.3333333333333333,0,0,1,0,0,3,3,4.754887502163468,0.0,0.0
7809,19,10,5,2.789473684210526,2.064327485380117,1,0,0,0,0.0,0.0,0.1052631578947368,0.2105263157894736,0.1052631578947368,3.00531485689428,0.0,1.5,3,0,2,0.9473684210526316,3,0.3684210526315789,0,0,1,0,0,3,4,6.339850002884624,0.0,0.0
4151,31,16,7,3.225806451612903,3.113978494623656,3,2,2,2,0.032258064516129,0.0,0.032258064516129,0.2580645161290322,0.032258064516129,3.341293084580423,0.0,1.4056390622295665,3,1,1,0.967741935483871,4,0.3870967741935484,1,1,1,0,0,4,9,18.0,1.3333333333333333,24.0
747,60,12,5,3.3666666666666667,1.015819209039548,2,1,1,1,0.0166666666666666,0.35,0.0333333333333333,0.0833333333333333,0.0,2.6123748250119823,0.0,1.9219280948873625,4,1,2,0.9833333333333332,11,0.6333333333333333,0,1,0,0,0,25,27,125.38411712391756,0.5416666666666666,67.91639677545534
4836,9,8,5,2.4444444444444446,2.7777777777777777,1,0,0,0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,2.9477027792200903,0.0,0.0,1,0,1,0.8888888888888888,2,0.3333333333333333,0,0,1,0,0,1,1,0.0,0.0,0.0
1733,71,18,8,4.507042253521127,3.739235412474849,5,7,4,4,0.056338028169014,0.0985915492957746,0.028169014084507,0.2676056338028169,0.0,3.4194386472382075,1.5,2.4842551447948,7,3,2,0.9859154929577464,5,0.4366197183098591,1,3,1,0,0,14,30,114.22064766172812,3.5454545454545454,404.9641144370361
3316,15,9,4,2.2,1.3142857142857145,2,1,1,1,0.0,0.0666666666666666,0.0666666666666666,0.2666666666666666,0.0,2.840223928941852,0.0,1.5,3,0,1,0.9333333333333332,3,0.4,1,0,0,0,0,4,5,10.0,0.0,0.0
6149,26,10,5,2.8076923076923075,1.6015384615384616,3,2,2,2,0.0384615384615384,0.0769230769230769,0.1153846153846153,0.3076923076923077,0.0,2.761733104426988,0.0,2.4056390622295662,6,1,3,0.9615384615384616,3,0.4230769230769231,1,1,0,0,0,9,11,34.86917501586544,0.625,21.7932343849159
3027,92,17,8,4.923913043478261,3.6974438604873385,5,7,4,4,0.0434782608695652,0.0760869565217391,0.0760869565217391,0.2826086956521739,0.0,3.239954032517451,1.5,2.516943566865439,7,3,2,0.9891304347826086,6,0.4130434782608695,1,3,1,0,0,14,37,140.87213211613135,4.5,633.9245945225911
1775,55,16,7,3.381818181818182,2.2404040404040404,4,4,3,3,0.0,0.109090909090909,0.0727272727272727,0.2181818181818181,0.0363636363636363,3.467570968684998,0.0,2.2295739585136225,5,0,3,0.9818181818181818,5,0.4545454545454545,1,2,1,0,0,9,18,57.05865002596162,0.0,0.0
5705,11,6,4,2.090909090909091,1.690909090909091,2,1,1,1,0.0,0.0,0.0909090909090909,0.3636363636363636,0.0,2.299896391167892,0.0,1.5,3,0,1,0.9090909090909092,3,0.3636363636363636,1,0,0,0,0,3,4,6.339850002884624,0.0,0.0
5276,23,10,4,2.608695652173913,1.2490118577075098,3,2,2,2,0.0434782608695652,0.0434782608695652,0.0,0.3043478260869565,0.0,2.940676218814984,0.0,1.8423709931771084,4,1,0,0.9565217391304348,3,0.4782608695652174,1,1,0,0,0,6,9,23.264662506490403,0.8,18.611730005192324
2216,11,8,4,2.272727272727273,1.6181818181818182,1,0,0,0,0.0909090909090909,0.0,0.0,0.1818181818181818,0.0,2.913977073182752,0.0,1.0,2,1,0,0.9090909090909092,3,0.4545454545454545,0,0,1,0,0,3,3,4.754887502163468,0.5,2.377443751081734
7402,45,16,7,3.355555555555556,2.7343434343434345,4,4,3,3,0.0,0.0888888888888888,0.0444444444444444,0.2222222222222222,0.0444444444444444,3.5178770647005537,0.0,1.895461844238321,4,0,2,0.9777777777777776,5,0.4444444444444444,1,2,1,0,0,6,14,36.18947501009619,0.0,0.0
4452,33,17,6,3.1818181818181817,2.465909090909091,2,1,1,1,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.2121212121212121,0.0303030303030303,3.610970819091592,1.0,1.8423709931771088,4,2,2,0.9696969696969696,4,0.4242424242424242,1,0,1,0,0,8,11,33.0,1.5,49.5
729,34,11,5,2.9705882352941178,1.8475935828877008,1,0,0,0,0.0,0.0294117647058823,0.1176470588235294,0.2058823529411764,0.1176470588235294,2.9220024616785656,0.0,1.448815635725185,3,0,4,0.9705882352941176,5,0.3823529411764705,0,0,1,0,0,4,8,16.0,0.0,0.0
2951,31,13,7,3.967741935483871,3.965591397849463,1,0,0,0,0.0,0.032258064516129,0.0967741935483871,0.2258064516129032,0.0967741935483871,3.1748008439762243,0.0,2.5216406363433186,6,0,3,0.967741935483871,3,0.3870967741935484,0,0,1,0,0,7,8,22.45883937646084,0.0,0.0
71,38,14,6,2.921052631578948,1.9125177809388336,2,1,1,1,0.0,0.0789473684210526,0.0789473684210526,0.2105263157894736,0.0789473684210526,3.312430802347936,0.0,1.9056390622295665,4,0,3,0.9736842105263158,5,0.4210526315789473,1,0,1,0,0,6,11,28.43458750793272,0.0,0.0
4699,62,17,6,3.5161290322580645,2.22104706504495,2,1,1,1,0.1129032258064516,0.0967741935483871,0.0483870967741935,0.2258064516129032,0.0,3.3665244901301814,2.5216406363433186,1.877387064296613,4,6,1,0.9838709677419356,5,0.4838709677419355,0,1,0,0,0,13,27,99.91187238980947,8.571428571428571,856.3874776269384
