iter	RMSE
0	18.83916865
1	18.71207938
2	20.65079282
3	20.53595852
4	20.44302202
5	20.34105287
6	20.25522442
7	20.15563807
8	20.0705407299	19.98526205110	19.92226029
11	19.85231714
12	19.78436579
13	19.72337723
14	19.66228114
15	19.59915252
16	19.57197494
17	19.51472611
18	19.47468859
19	19.42720555
20	19.3761152
21	19.33830166
22	19.29333341
23	19.27680949
24	19.24656969
25	19.19809879
26	19.17832284
27	19.1436459
28	19.09852664
29	19.05860816
30	19.03951112
31	19.00329424
32	18.98652144
33	18.95842538
34	18.92619532
35	18.90123301
36	18.88260533
37	18.85086338	16.98136395
39	39	18.81345940	16.95593294
41	16.94477176
42	16.93509614
43	16.90652907
44	16.88170152
45	16.853695
46	16.82630111
47	16.81516327
48	16.807353
49	16.78010127
50	16.75332455
51	16.7408245
52	16.72913551
53	16.71315808
54	16.70044666
55	16.67404569
56	16.66383381
57	16.63761166
58	16.62876263
59	16.60999211
60	16.59772673
61	16.59292112
62	162	18.3453963	63	18.32950663
64	18.31088322
65	18.29730737
66	18.28600023
67	18.26971744
68	18.2550429
69	18.22889301
70	18.21415806
71	18.19975171
72	18.18516516
73	18.17114148
74	18.15309773
75	18.1376688
76	18.1281118
77	18.11406113
78	18.10077883
79	18.0870356
80	18.06585463
81	18.05248087
82	18.03928706
83	18.03074835
84	18.01766626
85	17.99170694
86	17.97879415
87	17.96580452
88	17.95772715
89	17.94511913
90	17.9386975
91	17.92624325
92	17.91317642
93	17.90074227
94	17.8876412
95	17.87550479
96	17.8635595
97	17.85181188
98	17.82580923
99	17.81414853
100	17.8026826
101	17.78927384
102	17.77793459
103	17.7634536
104	17.73808917
105	17.72689169
106	17.71151986
107	17.67526666
108	17.66427192
109	17.64899846
110	17.63814949
111	17.6275867
112	17.60266023
113	17.58615178
114	17.56116198
115	17.55083102
116	17.54060974
117	17.5305336
118	17.51367504
119	17.48288182
120	17.47293996
121	17.44675335
122	17.44051059
123	17.43080841
124	17.40816371
125	17.39854729
126	17.38518024
127	17.37584717
128	17.36647774
129	17.35737475
130	17.34834983
131	17.33946924
132	17.32812937
133	17.31934998
134	17.31056398
135	17.30185276
136	17.29191956
137	17.2834219
138	17.25953517
139	17.2360655
140	17.22764882
141	17.21903099
142	17.19669533
143	17.1885747
144	17.16528254
145	17.15775852
146	17.14511624
147	17.13203992
148	17.1091567
149	17.09672662
150	17.08859299
151	17.08058434
152	17.06762736
153	17.05962546
154	17.05170053
155	17.04398979
156	17.03195245
157	17.02436146
158	17.00159627
159	1159	15.16667843
160	15.15875378
161	15.15082952
162	15.14567165
163	15.12131982
164	15.1133894
165	15.10574202
166	15.10058058
167	15.09309292
168	15.08571696
169	15.07838273
170	15.07040311
171	15.06322206
172	15.03897437
173	15.03159899
174	15.02461345
175	15.0002723
176	14.99340991
177	14.97906552
178	14.955008
179	14.9479082

